start_time,name,distance,moving_time,elapsed_time,total_elevation_gain,sport_type,id,achievement_count,kudos_count,comment_count,athlete_count,map,average_speed,max_speed,average_cadence,average_temp,average_heartrate,max_heartrate,elev_high,elev_low,pr_count,suffer_score,SPM
2022-08-07 17:14:37+00:00,Morning Run,11.4126138,7926,7971,333.0,Run,7600095117,17,5,0,1,"{'id': 'a7600095117', 'summary_polyline': '}n}tGnp`lVMwAl@iCBaB`C{GlBg@bBwDzAsBdEu@P^AdAqAj@yAhCWzCJt@XHX|Bh@m@Ds@j@pA`C|A^v@E|@`@~AzBlCZi@XF`@hAEx@oARkAhCW|B|@pCfAJ`Av@p@c@bCKBhD|@xB{AHu@_@o@^I|Fw@uA_B^[bCcCnCb@lC_BDW~@aAC{@{Cq@]i@sA_CcAuAQqA`@_BwBoCfAmBsBoBFm@d@eB[q@XaCw@qA`@Kf@Rz@[j@kBHwBm@u@hBlAnABnBbBlAX|AKhAtDh@d@pAtA_AhA^b@nAvCEK|@h@pAcAxBnA`Br@zCWxAq@~@Q~BmB~De@u@u@Bu@}A]KuA~BHlBkC@UfAyE{Bc@`BV`AKnALzCkFyDQX`@dDIzBkCeDeBuCcAyBDxAr@|B|@vGIjFsC{@Nu@MUu@As@_BSDq@l@s@bE?xA]d@QHgC}DaAdAk@fFkAy@Y^WdCTdAUj@aEg@KbB_AhBhA`AvAZCbDZf@pAGjAjA|AoBf@nAP~Ah@`AF`Cf@bBhADn@vAp@DGf@_Av@dAh@iAr@r@v@AZgAdA~AJoAn@El@e@NKj@a@Ay@lB[bC|AlBnARr@bB}@n@QnA_C~@rAlEo@T{BUyAr@We@MlFeCgBwBVgAW_@cASHGl@p@pBw@zAL~AdBbCg@fBx@nBwEdBi@dCo@j@w@eBo@sDCn@`@lA[WM_BeAcBoB]c@j@ElAZvD{@`C_Au@sBTp@tEqHnAdAy@eBgCgAqCKo@N}@a@u@WmBfCx@z@]Vs@wAoBu@wCH}Ak@yClBwCZgDr@_@jFlBnC^hBjAb@S[yAqCkDaCkEgBoFY{Br@o@bDIzMrB~AgAcBE]eAeCsBuEmBiGqFq@cBgBgBOsAo@cA[gC?i@lAsAAi@sAqDEw@rBuAa@aEfAmAjBYQaDzAOj@yAdCwCAuFrA}Bz@i@|Ch@JO]qBRg@hDe@MuALcCTc@rG}D`BOIeD`@s@rAkAhB@RwEXmB~@}@jBk@nAeAPLJbFx@`A`BzDr@]BwFh@_@xD^tEdEzATJUOWyB}@{@{C?_Be@aBuC{D]_CFcDiAwBLaEnBwChD_Bz@cA`AG|AVJeBVa@tHo@bC?`E{@|BVt@r@pBk@|CtA`@KUwB}DqBi@s@Is@', 'resource_state': 2}",2.319,5.378,85.6,27.0,152.9,169.0,319.8,125.6,2,207.0,1.566994700984103
2022-08-06 01:11:13+00:00,Evening Golf,4.064941800000001,4693,7772,26.0,Golf,7589655354,0,2,0,1,"{'id': 'a7589655354', 'summary_polyline': 'ohjuGt{|kVRc@CKYScBMy@[eAq@_A_AAEFCNVI]i@{EQsB@e@BDAQDG@PC}@HmADOCeAF?ILM?McAUOH\\L\\CAAOFNCDVYNEHB?WRMd@Et@cAEDB@IAAS?HB?GEBACDFH?[BCC@BD@T~AyCBWWYIQCy@Z]n@cBTW`@OTW\\kAA@DCID@DCEDKl@@TC`@KRUh@eAAa@GA?NEOBA@DAFGFDBIL?j@b@YN]A[Is@Q[UEi@h@AF@AEAAQDAAB@EA@FPuBlBc@@[KWSy@{@e@]GSA@DE\\{AHML@?IHd@@KCMEBDFD?RTQWEAB?St@CTDHF@AWBG?PGHs@RYSI@IJ@EQKM@ZHABMjBOf@QMI@D??G^JWv@EBOAACDE?EAHACFECCMP_@dBSn@SZ@DA@@GEJ@@AG@A@ZRrA?H_@v@On@KnAJFAIA@C`@GBAEEFHT^f@L@fAb@@GCAAOAF]e@ZIDKGIKH?JK`@a@G@HE@[Ee@TYV?FB?EHGKM?HPLMGFCL?lEYpAKzAEAF@@E?JVh@Pl@F`@L@@FNDWKGBc@nBBh@`@|@b@j@Hd@DDKE@HJVj@n@hAI`A?CDZMWHBDCBcAt@KNCb@DP\\M`@FGZBA?ULKQCAI@HFAk@TU?^ZjA\\?FCDE`@EFH?MCEEPe@oBq@eCc@gB{@i@Q@DCI@Ct@v@d@@CB@I_@Iu@i@BCBHBWJ_CCEEBIn@?NHIFQHq@?[ADCABEBDEZAIi@G]WGa@BE?WPc@EUXLPG@LAHGMM@Wp@CPE@GUI?Ij@?PCC@AQFGG?DADACFDXIM?SJ@BBGXIIrAHbBACClAGr@GT?HA?DKEDMf@CXC@FTEJBBGFD@b@s@HJp@HGBCVD?@I@L@CC@AK@UBCDJb@\\XFJLHTFn@HRXBb@[TEd@NV?CBFBOHQOtAlANP@Pe@`CKhAEBCGBCFF@LRb@Il@@XCHPPDCSOC@?JZF?HB?X_@J?M@IJAb@v@~@NDDG@G@@CBF@JPABHHFE@EKO[GDINqAp@_Cd@kAd@cAPw@n@_@`@KBYCKMAD?C@GMFDBO@HMiA@QW_@RRFTGCBIEMCFIEGQAeAEa@@ENBEQUQT{@JML@p@h@F?LOHs@?{@Gg@EG]E@@', 'resource_state': 2}",1.395,6.17,,30.0,83.8,138.0,7.6,-0.8,0,8.0,0.10227999147666737
2022-08-04 22:26:11+00:00,Afternoon Ride,4.082826600000001,1079,1117,70.0,Ride,7584000638,0,0,0,1,"{'id': 'a7584000638', 'summary_polyline': 'ujytG`yvkVGOKKkAo@mDyAeCkAqAe@cB}@aC{@YEW@}@PUBKAKUC]HqG?kDFqHTg_@@gGSmDAqAJcCDyEDsKDGTG|AIFEDKD]FyBGaBEsE@gHCqBBiDCwEJoO?wIBkAE_IEiB?cGD{BC_DD_EEqMHe@DsEDeAI{H?uD@sBAqA@oAE}@FoKUwCEIOIIA{@@i@CgBFICKOs@eMa@}CW_C_@gGEuAFu@IeGFsEOQqBDGGEMA[AiJHgB\\sCJaLGSGEKCa@AIEEIC_@AcAF_C@{CE}^Bi@Ny@DmI?iCMmC?qH@oAMQ{E?O@@LOByC?UFKN', 'resource_state': 2}",6.093,11.174,,25.0,121.0,145.0,75.8,19.4,0,4.0,0.22242817423540315
2022-08-04 14:50:20+00:00,Morning Ride,4.5731682000000005,1215,1255,37.0,Ride,7581920236,1,0,0,1,"{'id': 'a7581920236', 'summary_polyline': 'cyztGxvhkVvAHNPBLKrKDXJd@Dl@AdNB^DDNDl@BJFHHBNCf@GrJ?~G@bIKnH@vABVHHh@DPHBZ?bICv@_@tCKpAGbCA|FBl@HTFDH?vAKVJDFOxE@~DDXGn@A|AFjBXvC\\pCVtAb@lDBf@FbCF`AP~AHPPF|@F~B?L@VLFLF`@JdABf@ApHErA@d@@pHGvIJpI?~AGVAv@@zEDzACdABfEAjGIlGC`MIpCD`GA|ABzDAdBDrSE~BC^AnCChA@ZJ\\p@hAfDzEX\\fAbAjBxAfCtB|C~Cb@Vb@FjDAPCAEDA`CFdAElAOnAAtCNr@?|ADrC?Z@^HFREnFB`AF^BFC?ALEb@GlBEd\\?PH`@bAhDNdA?vAOx@mAnIyEfXMf@Ub@[Va@Ni@ZGDU^CXc@~BMb@ONQ@y@UY[iGwCuAc@s@c@QO', 'resource_state': 2}",6.061,11.434,,22.0,107.2,127.0,73.4,17.2,0,3.0,0.14814814814814814
2022-08-04 05:05:04+00:00,Night Ride,3.9801132,1064,1079,67.0,Ride,7579472674,4,1,0,1,"{'id': 'a7579472674', 'summary_polyline': '{nytGnwvkVkCgA]QGQQ]w@_@i@a@q@]m@e@w@_@oBm@UCS@y@R]@IEGGIWAOIkDMkC@oADiCH_HN_XD{CGyC?sACWDYGkG@}AJyG@oCAuDB]NMpAIPOFi@?}EDwA?oBJqCGkB@g@Ck@?OH]CuEGcC?sFHyNGoKDkCGkHEeTHiG?mBFy@AeDPqHCy@CmDDqE?cBG}@DkBIkDAmD_@{BIQOESCg@B}B?OGKQCq@Q_B]aGYoCg@gDQgBG_AKaEF{@Gq@BoICw@KWUIW?o@FSOKYC[AkDDqD@w@VaCHa@De@HwJCi@WS[CGECOMeEB{BBmPEkNBw@Ry@@WC}E@sCBoAOwG?_BDkBDk@FQEG_@CeA?yBIiDD', 'resource_state': 2}",6.024,8.784,,21.0,106.5,150.0,64.6,8.0,2,3.0,0.16917293233082706
2022-08-03 14:44:22+00:00,Morning Ride,4.6326600000000004,1287,1287,33.0,Ride,7576270025,1,0,0,1,"{'id': 'a7576270025', 'summary_polyline': 'i_{tG`whkVdAAl@Bz@?x@Bj@FFTCjAD|HDb@HVFf@I`NDf@TNl@FJBPRBNMxZ?~GErCBrA@DPXh@BFBFTGdLg@tEEdBGxFBfAHNJHRF\\C|@@PHFVSpEE~CEf@CjA?ZF~BThCTdAPzAt@pEFn@HnBDdBF~@PtADJZNnABRD`BANJDHR|B@jAQxDGdDHnAF~BFr@Lf@@p@A~AMnAChBH`GA~CGxBH|GCbB@hCAjH@fCIdGCvHGbCAnNGpF?z@G~JJtHDb@@v@CjDJb@dBrCfBhCj@l@bA`AvAbAzCfCACB?bDbDPHb@HrFB|AAnBI~@?zB@j@DlJFJ@PT@n@GdCAlFGlAGfH@rSH^x@tCLj@JfA?dAGj@uArIe@xBeA`GkB`L[dAi@l@}@d@UTINM\\@DI@EHSpAOl@WJYKk@]]@S?QGgAe@QOcAk@iAc@gBe@o@]YS', 'resource_state': 2}",5.796,10.672,,23.0,106.6,133.0,70.0,22.0,0,3.0,0.13986013986013987
2022-08-03 02:23:45+00:00,Evening Run,3.1103406000000002,1374,1374,31.0,Run,7573461254,3,4,1,1,"{'id': 'a7573461254', 'summary_polyline': 'ob{tGrxhkVc@JQ@iAIuB?kCOkAA_AQoCIMAe@Cs@DqCBsACe@Ia@WoA?e@CQOOy@EEMEsC@i@EECKa@IqHI_BAoAB_AA]ICqBHgC@k@DsAMi@CMCIKESMaFCyC@iAFu@B_BDaAHsFCwLDcDA[[sBWyCCA_@@iBLWDeA`@qA\\g@BKAcAUc@I{@@cCl@w@PQFi@\\STUl@Q|@KrA?lBLvBRnFNxB^`DF`BHr@ZfB\\nAx@xGj@rBRbAP`BJp@Rl@HRPp@Fb@Bd@CrBEjAJxAAtIErBB^BDRBd@?|ACd@NjD?bBFpEA^EfBBdAL|@Dd@Cz@Av@Dh@An@@D?JI@ILwJ\\wADC^CdBBf@An@MvAG~@BbAVL@nBBxAHtBGhA?', 'resource_state': 2}",3.645,4.463,87.9,29.0,163.0,177.0,83.6,63.2,3,51.0,2.2270742358078603
2022-08-02 14:44:54+00:00,Morning Ride,4.5516195,1215,1253,41.0,Ride,7570340333,2,2,0,1,"{'id': 'a7570340333', 'summary_polyline': 'yxztGrwhkVhA?HFFHDVQpDEnDBf@Rn@DZ@\\GbCAzBBbBCz@?dAFPPD^@VFLT@vBC~B?~GBpB?vC@`DAvBMjCAnBBxAFRHFd@DPFFHB\\AdHCzAi@zDE~@GnKDVDHNFl@G`@?VFJPBjAIvBApD@v@An@BpAFpBJbBNz@TvBt@zEZfGLzALt@TJx@FVCVD\\?t@GTDLZRnB?pCG~FHnGDjYGdAA`ABrBAlFB~B?jAMnK@vHGnFBJCpAB~@CrH@nFAtAFlMIrAGlGDzCBj@Cx@DRJVn@fA|DtFz@v@fEfDvArAlBrBf@\\TDR@xC@d@ADAAAH?zCHrAMfDCrEHhDAV?\\FFBDH@lEA`EGbCCbCBhXjAhELdABbAGj@k@bCaAjHm@rD[tAoBfLYnAKVY^cAl@m@d@KVAJQd@]zAITMNO?UMOA_@Q?BoE{BcEuAi@Y', 'resource_state': 2}",6.033,12.967,,24.0,105.0,132.0,76.0,20.8,0,3.0,0.14814814814814814
2022-08-01 18:56:46+00:00,Lunch Run,6.2580654000000004,3544,3544,74.0,Run,7566246906,0,2,0,1,"{'id': 'a7566246906', 'summary_polyline': 'q`{tGrxhkVIOGCs@?a@Ds@K_ACOBm@@a@C_@EiBIm@EcKG]Bw@CiA?q@@}AAiABABCPChB?dBEl@QRADA`DIVC@gACaBF_NJg@?mAGsCCg@BkBIyB@}BGg@B{@A_@E_@?oB@i@BSLOTQf@Wh@m@~@Mn@Dp@Hh@?RV|@Tj@r@nCp@dO?x@Cf@Gd@e@vAW~@EfB@dEEr@Dx@BjDG\\Oj@k@`BOt@IbC@f@Cp@Kr@Mf@Yb@cAf@c@J_@\\]t@o@nCu@rB]h@MHSFwBLWLGd@Ar@@r@Ep@JtC?tBCrBQxAWp@[\\YLwAZc@Nk@^e@h@[`@Sb@m@t@[Lc@J_@BUNc@?I@Cx@BnDEp@Ap@DhCCr@D`@FB^@`@@fAAf@DfAPXZDR?nBDzDAtB@LFTzC@zBGrFAjAFhAC`@BhBChBD`DGvAB\\BlB?d@A^@fACtEDnCIfEBlFEN@HCHs@C{FHgB?YBRXh@BZ@h@Er@BdA?hAHnBPBZ@fBIlA@lAEhAFl@^j@DzCBt@El@Ar@I~@@b@Ab@GZIb@Aj@DZKvDAfBZb@Pd@\\v@r@`Ah@z@Zn@Fb@DTG^HhADjAEtA@ZEn@?n@ChADbAIjBDh@CJGHeA?}CLwH?]Go@Ac@CuCK_DWeB[eBg@_EIyAMaDFwBAoATqBDw@NgB`@yCj@eCZcB@y@C{@Ku@Ie@[y@MqAEiB@qCCg@BaABc@`@eCHkFE_FDaBGkB@}@CkBJmCA_CBaBAaBBm@A}AEm@BiDA}@Gw@?y@Bu@CaAH}A?aDDgA?_AM}AECs@CgAKuAGi@Bk@EwACsB@WEw@BiA?', 'resource_state': 2}",2.844,4.44,83.5,30.0,147.5,159.0,83.8,48.0,0,72.0,1.218961625282167
2022-07-31 23:34:09+00:00,Afternoon Golf,3.1367952,5218,6627,58.0,Golf,7562062465,0,3,0,1,"{'id': 'a7562062465', 'summary_polyline': 'ya}tGhbfkVID?BB?I@CEINAADCCDBGE?BE@@C@@?CDXUBOPa@GoB?mA@c@C_@?u@I_B@e@CEE@DAAAD?@UOeBIc@Ce@Ow@@eAEiA@CE@CEFB`@}ADIJC@BA@?JADGFIBADc@Ai@M_AKKGFGABC?HZNfAPbCCj@B`CE~@@@CDIGDCFB?BIB?@BCSnA[rAGn@_@fABBEJ@@FGTVHRDv@At@GR?ID?CVM`@GFNJJLD?@NYg@@CB?@@Yp@ATIj@G@ACBCAABC?GKUQ{@C}@OqAJmANY@@?CCCCB?BCMEc@OIS?UEGEGMCBFHP@@@BXAA?CCFl@YBKCYBu@HMB??KFI@DE^BFCDD?AUFEB?C?CMC?ITE@Da@FKFEBKEJCKG}AAmDI_B@WIA?BFI@J?IQgBB[@k@E?Ke@a@{@BMBD[kAOWADAABV@OFCDO?_@NyAAEBKROFF?EFEAF?ES@BBGPC?CFc@CQGa@EG@CBCC?IA?J?@BI@ACF?s@Zc@Lc@DO?A@LC[Xo@f@ICFDCEm@t@Un@o@dAAQMOHHLIB?GF@DTRJTUUBECH[O?^J^@`@Mj@?b@BJ@?AD@EFAI@AKAPJCCGEi@HWJEDOHGJCf@Bn@DPDRQJC?IAIEGAUDIAB@AAAGCEJBZB?ECEQFa@EZFn@IVDP@TCj@EMC?@CBHAGAFDDC?@EID?O?JT`BFnCKp@M^M~AIPEBAFG?EBAE?B@f@CX@xACz@QnAE`@KXGHB?EBB?CXBTBNP`@D^?x@FHAFOLBJMCHV?H?KCALo@TGn@_@PABDCxAAPCDDDEBD@CqBBGFGBMA?AHJ?KDAABIAYBYJi@@s@h@}ALmA?s@DQ[y@GW@?AA?E@HBCCs@H_CD_@DGDCAGDEDH@GGy@J{@F[CSMMBFC\\BQBAH@LNNENK^KH?DH?A??@@G@B@@E?FC@CEBx@C~@Bx@Ct@CVI^ATKd@Af@@\\CX?V\\\\F??BE@?@EBF?G@@CC?CNJ~AClAG^FPAAB?@FABC?B^ABII?HA?CEHHHTJPNh@NnAFREEHABHFJEHMS?OJSCBE@AUB?@^@?@FILPa@AAC@EP@LHL\\Nb@Zl@M', 'resource_state': 2}",0.968,3.286,,35.0,98.8,139.0,67.0,53.4,0,13.0,0.14948256036795707
