Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Elev Gain,Elev Loss,Avg Pace,Best Pace,Total Strokes,Climb Time,Bottom Time,Unnamed: 0,Unnamed: 0.1,Total Reps,Total Sets
Cycling,2021-09-19 12:01:18,False,Portland Cycling,18.38,"1,465",02:03:31,136,163,2.7,--,--,8.9,23.0,"1,877","1,860",0.0,0.0,0.0,0.0,0.0,0.0,0:00,62.6,0:00,No,17:01.47,4,0.0,00:00:00,02:06:22,325,"1,133",,,,,,,,,,,
Cycling,2021-09-18 18:02:02,False,Portland Cycling,15.21,797,01:08:25,127,180,2.3,--,--,13.3,31.3,837,853,0.0,0.0,0.0,0.0,0.0,0.0,0:00,64.4,0:00,No,01:55.20,4,0.0,00:00:00,01:08:25,115,726,,,,,,,,,,,
Running,2021-09-17 14:39:31,False,Portland Running,5.0,819,00:41:31,167,181,4.1,179,201,8:18,7:02,463,449,1.08,0.0,0.0,0.0,0.0,0.0,0:00,75.2,0:00,No,00:02.69,6,0.0,00:00:00,00:41:31,272,760,,,,,,,,,,,
Running,2021-09-15 19:02:12,False,Portland Running,4.32,691,00:40:02,149,162,3.1,173,188,9:16,8:07,151,157,1.0,0.0,0.0,0.0,0.0,0.0,0:00,68.0,0:00,No,02:54.90,5,0.0,00:00:00,00:40:10,194,280,,,,,,,,,,,
Cycling,2021-09-14 18:15:25,False,Portland Cycling,11.69,"1,008",01:15:46,137,168,2.5,--,--,9.3,21.7,696,715,0.0,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,06:51.67,3,0.0,00:00:00,01:15:46,154,308,,,,,,,,,,,
Running,2021-09-14 13:31:25,False,Portland Running,4.12,714,00:41:35,152,172,3.1,168,184,10:06,8:29,443,433,0.95,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,00:59.50,5,0.0,00:00:00,00:41:35,159,596,,,,,,,,,,,
Running,2021-09-13 11:34:03,False,Portland Running,6.11,942,01:00:59,141,158,2.8,169,200,9:59,8:46,256,249,0.95,0.0,0.0,0.0,0.0,0.0,0:00,71.6,0:00,No,01:09.87,7,0.0,00:00:00,01:00:59,158,281,,,,,,,,,,,
Cycling,2021-09-12 11:18:00,False,Clackamas County Cycling,16.11,"2,003",02:53:51,139,169,2.9,--,--,5.6,16.1,"3,130","3,153",0.0,0.0,0.0,0.0,0.0,0.0,0:00,66.2,0:00,No,10:52.92,4,0.0,00:00:00,02:53:51,963,"2,495",,,,,,,,,,,
Cycling,2021-09-10 16:56:27,False,Portland Cycling,11.38,841,01:14:23,127,166,2.0,--,--,9.2,25.5,689,712,0.0,0.0,0.0,0.0,0.0,0.0,0:00,73.4,0:00,No,05:52.88,3,0.0,00:00:00,01:14:23,52,228,,,,,,,,,,,
Running,2021-09-09 11:48:59,False,Portland Running,5.14,868,00:49:32,155,180,3.3,171,189,9:39,7:32,495,489,0.98,0.0,0.0,0.0,0.0,0.0,0:00,80.6,0:00,No,01:11.90,6,0.0,00:00:00,00:49:32,156,585,,,,,,,,,,,
Running,2021-09-07 13:56:48,False,Portland Running,6.01,996,00:58:57,150,163,3.3,170,193,9:49,8:29,240,213,0.97,0.0,0.0,0.0,0.0,0.0,0:00,84.2,0:00,No,00:04.58,7,0.0,00:00:00,00:58:57,163,284,,,,,,,,,,,
Cycling,2021-09-06 15:29:26,False,Clackamas County Cycling,14.69,"1,784",02:34:01,135,167,2.7,--,--,5.7,15.2,"2,595","2,543",0.0,0.0,0.0,0.0,0.0,0.0,0:00,75.2,0:00,No,49:07.03,3,0.0,00:00:00,02:35:13,"1,213","2,509",,,,,,,,,,,
Cycling,2021-09-05 12:58:22,False,Multnomah County Cycling,9.28,"1,514",02:11:00,137,169,2.9,--,--,4.2,15.8,"1,873","1,762",0.0,0.0,0.0,0.0,0.0,0.0,0:00,78.8,0:00,No,01:03:08.10,2,0.0,00:00:00,02:13:14,310,"1,224",,,,,,,,,,,
Cycling,2021-09-03 15:15:45,False,Multnomah County Cycling,9.02,"1,316",02:01:32,129,166,2.2,--,--,4.5,19.3,"1,506","1,453",0.0,0.0,0.0,0.0,0.0,0.0,0:00,80.6,0:00,No,59:47.92,2,0.0,00:00:00,02:01:32,217,"1,144",,,,,,,,,,,
Running,2021-09-02 11:49:18,False,Portland Running,6.01,993,01:01:18,147,159,3.0,169,194,10:12,8:54,240,213,0.93,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,00:04.98,7,0.0,00:00:00,01:01:18,161,283,,,,,,,,,,,
Cycling,2021-09-01 17:15:50,False,Portland Cycling,16.7,"1,298",01:46:43,140,171,3.1,--,--,9.4,23.7,"1,562","1,444",0.0,0.0,0.0,0.0,0.0,0.0,0:00,71.6,0:00,No,06:47.91,4,0.0,00:00:00,01:47:18,295,"1,088",,,,,,,,,,,
Running,2021-08-31 18:48:42,False,Portland Running,6.23,992,00:59:51,151,184,3.2,170,215,9:37,6:46,577,574,0.99,0.0,0.0,0.0,0.0,0.0,0:00,68.0,0:00,No,02:12.15,7,0.0,00:00:00,00:59:51,154,600,,,,,,,,,,,
Cycling,2021-08-30 16:48:15,False,Portland Cycling,14.62,"1,068",01:42:30,130,170,2.3,--,--,8.6,22.2,"1,253","1,236",0.0,0.0,0.0,0.0,0.0,0.0,0:00,71.6,0:00,No,30:18.83,3,0.0,00:00:00,01:42:30,190,351,,,,,,,,,,,
Running,2021-08-29 15:01:54,False,Portland Running,5.01,800,00:47:43,148,167,3.2,172,196,9:32,7:39,262,249,0.98,0.0,0.0,0.0,0.0,0.0,0:00,84.2,0:00,No,00:04.47,6,0.0,00:00:00,00:47:43,166,292,,,,,,,,,,,
Cycling,2021-08-28 08:45:00,False,Clackamas County Cycling,13.3,"1,610",02:24:19,135,176,2.9,--,--,5.5,14.9,"2,362","2,352",0.0,0.0,0.0,0.0,0.0,0.0,0:00,66.2,0:00,No,32:08.08,3,0.0,00:00:00,02:32:00,"1,123","2,347",,,,,,,,,,,
Cycling,9/10/2021 16:56,False,Portland Cycling,11.38,841,1:14:23,127,166,2.0,--,--,9.2,25.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,73.4,0:00,No,05:52.9,3,0.0,0:00:00,1:14:23,52,228,689,712,,,,,,,,,
Running,9/9/2021 11:48,False,Portland Running,5.14,868,0:49:32,155,180,3.3,171,189,9:39,7:32,,,0.98,0.0,0.0,0.0,0.0,0.0,0:00,80.6,0:00,No,01:11.9,6,0.0,0:00:00,0:49:32,156,585,495,489,,,,,,,,,
Running,9/7/2021 13:56,False,Portland Running,6.01,996,0:58:57,150,163,3.3,170,193,9:49,8:29,,,0.97,0.0,0.0,0.0,0.0,0.0,0:00,84.2,0:00,No,00:04.6,7,0.0,0:00:00,0:58:57,163,284,240,213,,,,,,,,,
Cycling,9/6/2021 15:29,False,Clackamas County Cycling,14.69,"1,784",2:34:01,135,167,2.7,--,--,5.7,15.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,75.2,0:00,No,49:07.0,3,0.0,0:00:00,2:35:13,"1,213","2,509","2,595","2,543",,,,,,,,,
Cycling,9/5/2021 12:58,False,Multnomah County Cycling,9.28,"1,514",2:11:00,137,169,2.9,--,--,4.2,15.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,78.8,0:00,No,03:08.1,2,0.0,0:00:00,2:13:14,310,"1,224","1,873","1,762",,,,,,,,,
Cycling,9/3/2021 15:15,False,Multnomah County Cycling,9.02,"1,316",2:01:32,129,166,2.2,--,--,4.5,19.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,80.6,0:00,No,59:47.9,2,0.0,0:00:00,2:01:32,217,"1,144","1,506","1,453",,,,,,,,,
Running,9/2/2021 11:49,False,Portland Running,6.01,993,1:01:18,147,159,3.0,169,194,10:12,8:54,,,0.93,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,00:05.0,7,0.0,0:00:00,1:01:18,161,283,240,213,,,,,,,,,
Cycling,9/1/2021 17:15,False,Portland Cycling,16.7,"1,298",1:46:43,140,171,3.1,--,--,9.4,23.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,71.6,0:00,No,06:47.9,4,0.0,0:00:00,1:47:18,295,"1,088","1,562","1,444",,,,,,,,,
Running,8/31/2021 18:48,False,Portland Running,6.23,992,0:59:51,151,184,3.2,170,215,9:37,6:46,,,0.99,0.0,0.0,0.0,0.0,0.0,0:00,68.0,0:00,No,02:12.2,7,0.0,0:00:00,0:59:51,154,600,577,574,,,,,,,,,
Cycling,8/30/2021 16:48,False,Portland Cycling,14.62,"1,068",1:42:30,130,170,2.3,--,--,8.6,22.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,71.6,0:00,No,30:18.8,3,0.0,0:00:00,1:42:30,190,351,"1,253","1,236",,,,,,,,,
Running,8/29/2021 15:01,False,Portland Running,5.01,800,0:47:43,148,167,3.2,172,196,9:32,7:39,,,0.98,0.0,0.0,0.0,0.0,0.0,0:00,84.2,0:00,No,00:04.5,6,0.0,0:00:00,0:47:43,166,292,262,249,,,,,,,,,
Cycling,8/28/2021 8:45,False,Clackamas County Cycling,13.3,"1,610",2:24:19,135,176,2.9,--,--,5.5,14.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,66.2,0:00,No,32:08.1,3,0.0,0:00:00,2:32:00,"1,123","2,347","2,362","2,352",,,,,,,,,
Running,8/26/2021 14:57,False,Portland Running,6.09,995,1:01:41,146,156,3.1,167,194,10:08,8:54,,,0.95,0.0,0.0,0.0,0.0,0.0,0:00,80.6,0:00,No,00:51.2,7,0.0,0:00:00,1:01:41,170,281,256,233,,,,,,,,,
Cycling,8/25/2021 17:35,False,Portland Cycling,13.38,"1,020",1:30:00,133,164,2.5,--,--,8.9,23.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,21:33.1,3,0.0,0:00:00,1:30:00,101,259,"1,127","1,137",,,,,,,,,
Cycling,8/24/2021 19:33,False,Portland Cycling,7.01,619,0:46:09,137,170,2.6,--,--,9.1,29.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,09:00.6,2,0.0,0:00:00,0:46:09,148,581,722,741,,,,,,,,,
Running,8/24/2021 14:13,False,Portland Running,6.13,984,0:57:39,152,173,3.5,171,197,9:24,7:36,,,1.0,0.0,0.0,0.0,0.0,0.0,0:00,84.2,0:00,No,01:11.1,7,0.0,0:00:00,0:57:39,158,277,230,226,,,,,,,,,
Cycling,8/23/2021 17:12,False,Portland Cycling,12.97,872,1:21:13,126,168,2.3,--,--,9.6,25.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,14:46.8,3,0.0,0:00:00,1:21:13,164,319,945,938,,,,,,,,,
Cycling,8/22/2021 15:45,False,Portland Cycling,12.55,923,1:29:30,127,160,2.0,--,--,8.4,23,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,71.6,0:00,No,14:22.3,3,0.0,0:00:00,1:29:30,168,327,938,925,,,,,,,,,
Cycling,8/21/2021 19:59,False,Portland Cycling,5.76,498,0:36:55,137,174,2.5,--,--,9.4,28.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,71.6,0:00,No,04:16.3,2,0.0,0:00:00,0:36:55,280,720,574,577,,,,,,,,,
Cycling,8/21/2021 11:16,False,Portland Cycling,24.1,"1,571",2:16:30,139,166,2.9,--,--,10.6,29.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,66.2,0:00,No,18:04.7,5,0.0,0:00:00,2:31:30,372,"1,067","1,535","1,644",,,,,,,,,
Running,8/19/2021 12:58,False,Portland Running,5.01,862,0:48:24,159,175,3.5,172,218,9:40,7:49,,,0.97,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,00:05.5,6,0.0,0:00:00,0:48:24,161,598,558,545,,,,,,,,,
Running,8/17/2021 12:44,False,Portland Running,6.01,974,0:59:42,149,161,3.1,170,207,9:56,8:19,,,0.95,0.0,0.0,0.0,0.0,0.0,0:00,71.6,0:00,No,00:04.9,7,0.0,0:00:00,0:59:42,155,281,233,230,,,,,,,,,
Running,8/15/2021 14:27,False,Portland Running,4.01,641,0:38:03,150,162,3.2,170,182,9:29,7:16,,,1.0,0.0,0.0,0.0,0.0,0.0,0:00,89.6,0:00,No,00:08.9,5,0.0,0:00:00,0:38:03,285,351,131,108,,,,,,,,,
Running,8/14/2021 12:11,False,Portland Running,13.11,"2,127",2:12:19,154,176,3.5,173,203,10:06,6:53,,,0.92,0.0,0.0,0.0,0.0,0.0,0:00,80.6,0:00,No,00:51.2,14,0.0,0:00:00,2:12:19,303,696,600,548,,,,,,,,,
Running,8/12/2021 11:27,False,Portland Running,6.21,"1,081",0:59:39,160,175,4.1,172,205,9:36,7:30,,,0.97,0.0,0.0,0.0,0.0,0.0,0:00,86.0,0:00,No,01:40.0,7,0.0,0:00:00,0:59:39,165,280,236,233,,,,,,,,,
Running,8/11/2021 10:45,False,Portland Running,6.01,"1,047",0:57:00,162,181,4.1,171,210,9:29,7:01,,,0.99,0.0,0.0,0.0,0.0,0.0,0:00,84.2,0:00,No,00:03.3,7,0.0,0:00:00,0:57:00,155,592,505,489,,,,,,,,,
Running,8/10/2021 12:54,False,Portland Running,5.01,856,0:46:37,158,181,3.9,171,192,9:19,7:36,,,1.01,0.0,0.0,0.0,0.0,0.0,0:00,86.0,0:00,No,00:03.1,6,0.0,0:46:35,0:46:37,163,278,184,157,,,,,,,,,
Golf,8/9/2021 11:00,False,Portland Golf,8.48,"1,140",4:43:17,81,134,0.2,--,--,1.8,12.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,82.4,0:00,No,43:17.5,1,0.0,2:05:28,4:43:17,237,343,505,430,,,,,,,,,
Running,8/3/2021 12:59,False,Portland Running,6.01,983,0:55:33,154,178,3.7,171,198,9:14,7:04,,,1.02,0.0,0.0,0.0,0.0,0.0,0:00,84.2,0:00,No,00:05.1,7,0.0,0:54:24,0:55:33,153,278,243,223,,,,,,,,,
Running,8/2/2021 12:18,False,Portland Running,6.01,951,0:54:47,152,175,3.6,173,194,9:07,7:08,,,1.02,0.0,0.0,0.0,0.0,0.0,0:00,86.0,0:00,No,00:03.1,7,0.0,0:54:45,0:54:47,85,265,256,223,,,,,,,,,
Cycling,8/1/2021 14:19,False,Portland Cycling,4.6,229,0:22:28,115,143,0.8,--,--,12.3,21.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,87.8,0:00,No,22:28.5,1,0.0,0:21:50,0:29:31,148,230,161,154,,,,,,,,,
Cycling,7/31/2021 16:23,False,Portland Cycling,26.49,"1,274",2:07:20,127,182,2.1,--,--,12.5,35.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,80.6,0:00,No,06:27.0,6,0.0,2:00:35,2:13:29,195,637,"1,467","1,473",,,,,,,,,
Running,7/30/2021 11:05,False,Portland Running,6.01,"1,011",0:57:25,156,168,3.6,173,190,9:33,7:33,,,0.97,0.0,0.0,0.0,0.0,0.0,0:00,84.2,0:00,No,00:04.5,7,0.0,0:57:24,0:57:25,367,796,525,502,,,,,,,,,
Cycling,7/29/2021 16:06,False,Portland Cycling,13.81,855,1:01:39,140,170,3.1,--,--,13.4,33.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,87.8,0:00,No,17:34.2,3,0.0,1:00:10,1:01:39,229,770,922,919,,,,,,,,,
Running,7/28/2021 13:01,False,Portland Running,6.01,"1,037",0:58:38,155,178,3.9,168,199,9:46,7:59,,,0.98,0.0,0.0,0.0,0.0,0.0,0:00,86.0,0:00,No,00:03.0,7,0.0,0:57:59,0:58:38,178,297,240,213,,,,,,,,,
Cycling,7/27/2021 17:39,False,Portland Cycling,20.04,"1,224",1:24:28,147,172,3.4,--,--,14.2,26.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,82.4,0:00,No,00:19.0,5,0.0,1:21:51,1:24:51,33,475,843,846,,,,,,,,,
Running,7/26/2021 12:27,False,Portland Running,6.01,"1,005",1:00:14,149,161,3.4,170,198,10:02,8:44,,,0.95,0.0,0.0,0.0,0.0,0.0,0:00,82.4,0:00,No,00:03.9,7,0.0,0:59:41,1:00:14,346,466,236,230,,,,,,,,,
Walking,7/25/2021 11:14,False,Marion County Walking,2.45,335,0:52:07,97,113,0.2,98,128,21:17,17:06,,,0.77,0.0,0.0,0.0,0.0,0.0,0:00,87.8,0:00,No,09:18.1,3,0.0,0:51:59,0:52:07,"1,717","1,771",154,151,,,,,,,,,
Cycling,7/23/2021 13:53,False,Portland Cycling,10.58,657,0:52:15,133,166,2.5,--,--,12.2,27.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,80.6,0:00,No,03:19.3,3,0.0,0:51:22,0:52:15,246,694,899,896,,,,,,,,,
Running,7/22/2021 19:05,False,Portland Running,7.01,"1,171",1:05:50,159,182,3.9,173,235,9:23,7:12,,,0.99,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,00:06.5,8,0.0,1:05:45,1:06:49,301,699,741,807,,,,,,,,,
Running,7/20/2021 12:44,False,Portland Running,6.01,"1,009",0:59:36,151,172,3.5,165,196,9:55,7:42,,,0.99,0.0,0.0,0.0,0.0,0.0,0:00,78.8,0:00,No,00:04.9,7,0.0,0:57:06,0:59:36,167,292,210,197,,,,,,,,,
