date,activity_type,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length
2020-11-10 15:12:40,Running,Portland Running,3.11,463,00:25:42,157,178,3.2,174,184,8:16,7:36,46,82,1.12
2020-11-08 16:14:17,Running,Portland Running,6.26,"1,011",00:58:11,156,171,3.7,166,184,9:17,8:02,121,180,1.03
2020-11-06 14:33:08,Running,Portland Running,4.35,703,00:38:38,161,173,3.6,165,186,8:53,7:44,33,82,1.1
2020-11-04 12:16:30,Running,Portland Running,4.0,638,00:35:02,161,176,3.6,167,182,8:45,7:28,46,62,1.1
2020-11-03 14:17:58,Running,Portland Running,4.01,623,00:35:40,157,171,3.5,170,182,8:54,8:07,30,62,1.06
2020-11-02 12:01:27,Cycling,Portland Cycling,10.32,401,00:50:00,109,152,0.9,0,0,12.4,22.0,348,338,0.0
2020-11-01 13:21:42,Running,Portland Running,4.01,657,00:38:24,154,162,3.3,166,182,9:34,8:13,36,46,1.01
2020-10-31 16:25:04,Cycling,Portland Cycling,9.95,558,00:48:05,128,172,2.2,0,0,12.4,23.9,377,371,0.0
2020-10-30 12:35:45,Running,Portland Running,3.11,488,00:27:58,156,170,3.2,169,186,9:00,7:49,30,59,1.06
2020-10-29 13:12:43,Running,Portland Running,6.21,"1,044",00:57:56,163,173,4.1,169,182,9:20,8:10,151,135,1.02
2020-10-27 14:07:59,Running,Portland Running,5.02,854,00:46:44,162,176,3.9,166,188,9:19,8:24,118,128,1.04
2020-10-25 13:33:49,Running,Portland Running,4.02,644,00:37:58,152,169,3.2,167,184,9:27,8:27,144,174,1.02
2020-10-24 11:23:26,Running,Portland Running,3.11,484,00:27:41,154,169,3.1,172,184,8:54,7:47,56,92,1.05
2020-10-23 14:04:25,Running,Portland Running,5.02,819,00:45:11,160,178,3.8,172,184,9:00,8:09,52,69,1.04
2020-10-22 12:36:42,Cycling,Portland Cycling,9.59,209,00:45:31,85,120,0.2,0,0,12.6,24.2,318,341,0.0
2020-10-21 13:36:20,Running,Portland Running,5.01,814,00:45:31,158,169,3.7,171,186,9:05,7:56,56,66,1.03
2020-10-20 14:19:22,Cycling,Portland Cycling,10.2,219,00:43:17,88,137,0.3,0,0,14.1,24.1,295,312,0.0
2020-10-19 07:18:15,Running,Portland Running,3.14,493,00:29:26,149,160,3.0,166,182,9:22,8:27,102,154,1.03
