,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,kilojoules,device_watts
0,2,Lunch Run,9789.8,3128,3162,64.0,Run,Run,,7362386558,2022-06-24T18:38:54Z,2022-06-24T11:38:54Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,United States,0,3,0,1,0,False,False,False,False,everyone,False,,"[45.52728708833456, -122.60249071754515]","[45.52638754248619, -122.60399292223155]",3.13,4.31,87.0,27,True,148.9,167.0,False,True,85.4,47.0,7844706162,7844706162,garmin_push_9079167003,False,0,0,False,63.0,23871091,1,a7362386558,o`{tGrxhkVUIu@BQEkACkA@QBw@?wAOkA?eACcAD{@?_DEuA@uFKuA@CBGb@OhIORGXCh@{AFeBAy@@i@?k@IgD@c@F_@RQFa@@]D}A?g@EqBD_AAe@Ac@KsA?m@BeAGq@@kCImDFSDIHCG@CI@QNq@vA_@l@Of@Gl@Jn@p@jBb@~ABRCN@VDNHdAp@lL@jAAx@Ov@s@pBObA@pBAjADn@?fAGxFAT_AtCI~AA`CCz@Kt@O^o@x@g@T]Hc@N_@b@Un@YvAUd@a@rAWd@_@T]Bc@H]N]DYTMj@Gr@Ap@Dp@EjC@jBCnA@t@Gn@Oj@a@f@g@TaAl@o@TWRm@l@{@rAc@`@a@TMDa@Ha@Di@ACHKxB@lBGxCFzCBDz@Jf@PfDBPDPj@CfGElCF^ZDx@?XBd@?xAMxADd@A`ABtAAVAx@FjAE`@B|B?vCEbB@d@Bb@ClA?ZEfBF`CAnBDlBCv@@dCKrBDtB@|AGh@?@A@oA?cFB]LARh@@XA`CDlBCh@V@JAVB\?hAE~@@zBEd@Fr@?PTLFf@@h@A|@DlAElABHGN?ZB`@WVCpAAbAEZFz@At@JdA?f@Cr@Fl@TvAhAfAj@xAZvDL|BAdBDf@?pBB^Eh@?f@D\?t@EFCFk@B}AEeBA}DDoFCoAQeEKu@Ae@[wCu@mEI{AEqCCGo@IQ@WCCASqAKoD@aAEmABmAAkHBcDMW]By@XUDEIE_@Fw@B_AX}B@sCEcADaDC_@]IQOKWEm@BwDEq@JyQCgA@iCCoA?gE@_AJ{@BsBGeGDyAA_AK{@M]CCa@Cs@?a@EmABa@CKAAE@c@,2,,,
1,2,Lunch Ride,12808.5,2925,2970,243.0,Ride,Ride,,7357786241,2022-06-23T19:07:02Z,2022-06-23T12:07:02Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,United States,6,2,0,1,0,False,False,False,False,everyone,False,,"[45.527022052556276, -122.60242223739624]","[45.526907136663795, -122.602654164657]",4.379,11.15,,24,True,114.5,141.0,False,True,201.4,59.6,7839655291,7839655291,garmin_push_9073784276,False,2,0,False,10.0,23871091,1,a7357786241,{~ztGdxhkVj@Eb@@TCxC@FFBJExKRp@DX@x@C|BAdGB`AHNHB|@BJFHHCfE@^JLFBRBzCK~@B|AGbABxCGjDBzHCtA@TFNGtAIdAD|A?`ABhAC|@DdA@~@EfAA|@@PCHODo@CsDDaDBENAdAENOFi@E{KIcG@eEBQBE^A|B@C?@m@KgIByCFg@No@P[Z[NKRQ|@c@x@MR?\G`@Up@S\QdDiApCsAz@e@HO?AILQLECAOVs@rAiBr@m@T]j@uADm@Ia@CAo@\]?IDKJELCBCGAYcA}BOKM_@SQ_@A}BXa@HiAj@_@RGHaCzBa@Pe@@i@[WYUc@IKWSs@G_@BeAa@KUCc@?OFYFMRWVGhABr@?nAQX?RGLIl@o@ZShAc@~@g@p@o@FIHW@[GYMQOIQA{Al@aARaAL[Hg@VYj@Gf@DNJDXM^Ej@O`A[|Au@r@GNEH@DHBTHJTEb@JV@h@ANIZ[x@c@b@c@HC`@B^IL?NBDH?LKTm@^i@`@_@n@Wv@WvBAVFXLV`@d@Vp@X^JZBZAJSj@Gf@Ad@Y|@E\A`@Yj@[|@UPu@`@mAd@eDzA}@MqBDc@BcAPg@EWSIMUk@CQ?s@RsDKk@_@y@CS?IEUFSGGK?[N][FQV_@v@YLW\GP@RHHFLTBLTvAJ\GhAGj@BxADXZn@j@l@j@XlA`@|@n@PBl@Qf@WdA_@x@]TCb@@PEj@[fAw@vAw@z@s@|@eAj@cALWH[RiA@{@BCBADHHn@Ez@?PPIRYXw@H_@@i@Gu@Fc@@iAD]r@uC?KWaAkBqFeA_Em@wBES?eA@]BGLKFAb@ChME|@FfAEl@JBBDbAA|G@|KC~LEHG@uAEmABaBCI?CDBBj@EbBDtBAL@NTDl@ElACbJGxD?xDDtFClDEHGBQ@sBA_IFg@RILGRCXElF@lDAh@EHQB_B@}AGcA@oACgABuCAeCJc@XsAJw@@}@CmBD{@C]LIf@?jHC^MLG@}AFeAHkADmGAqAFwD@uCF{@C]@G@GJMbBKNQB}EGqCBeAAiE?a@F?Ci@EsA@o@CuF?GCCIAQHmEB_GC_AEg@EWMWa@CgA@OGGQ?aJMSa@GsDB_AFKHAHBf@RP^@BBLE,2,117.3,343.2,False
2,2,Morning Run,9682.0,3343,3384,76.0,Run,Run,,7352038723,2022-06-22T17:42:39Z,2022-06-22T10:42:39Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,United States,0,3,0,1,0,False,False,False,False,everyone,False,,"[45.52729161456227, -122.60282632894814]","[45.526306154206395, -122.60234638117254]",2.896,4.349,85.5,27,True,145.6,164.0,False,True,85.2,46.0,7833385185,7833385185,garmin_push_9067120874,False,0,0,False,56.0,23871091,1,a7352038723,q`{tGtzhkVEa@Mk@aIAkAMs@CeB?{@E]@q@CcBB{GGiBEc@@MDEvBGl@EtAYp@C`BGp@_BJkACcABIDSXUFgBBe@Cs@BcCGc@BmAGg@@SCqDBcAI_@@}ACwAMO@WDy@@g@AsABkAC_@@YDa@R]`@[l@[d@IFUf@Il@Bn@J`@pAdEFlBRbEN`BH|AJv@BjAAh@Il@k@jA_@hBAd@Bt@?`ECt@D`DC|@Gr@o@jBQp@Cn@Mt@Gh@CbBGj@Ul@GHe@dAKH]L_@D]\Sd@]pAo@tC_@~@]Ve@NY@_@AU@ODOTI~@a@lADrCCp@AfFIz@Uj@iAfAg@To@Re@T_@Z_AdAgA|@YJo@Dw@LIFGn@Dn@?lAEzEDjCDb@BB\Bh@Nd@Ht@?f@Cz@?FDHLBPAn@DtCKjBDv@?j@D`@F@l@@PAdBHdDF`D@hBGhA?l@BfAAbIR~@MbCE`@G~@@xAFl@FhABxFI~AFlACd@Dl@Ez@@x@IXAA?n@FTCvABr@CREp@?^Bz@?h@CVHf@\p@BVCvADx@PDM@AtCAb@I`@QrAAfAFzA?fADtAKtARj@VdAz@`Al@lA`@p@BNEHo@?w@Gw@EwDDiA@aAHg@?a@GgDB_CGeA?kBF}CEs@GaDFkBEe@k@wBGo@Hg@Z]No@Fy@CmB?mDE_HBaEAy@FoDEeAFyAC{@B}A?cA?ALCjA@RAXGXQx@O^BRADY?g@Bm@C}F@q@DgAGyEBwA?eCD_AEqADq@CaB?gFDIJKj@Id@CfA?zBGNeBAcBNSp@Kt@@Bw@Ec@@aBCcBBeBCuDDmAEeBIMUCUKmEBi@AgABkEAg@Bc@GGC,2,,,
3,2,Evening Run,6741.1,2822,2847,280.0,Run,Run,,7348290559,2022-06-22T02:12:17Z,2022-06-21T19:12:17Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,United States,5,3,0,1,0,False,False,False,False,everyone,False,,"[45.50929315388203, -122.59718933142722]","[45.52625468932092, -122.60242986492813]",2.389,4.285,81.4,27,True,157.8,179.0,False,True,184.6,53.2,7829299918,7829299918,garmin_push_9062573827,False,1,0,False,89.0,23871091,1,a7348290559,apwtGlwgkVzAkAb@c@bA{AL[Ha@n@mBVaADu@Co@SeBi@cCDw@Go@_@OYQSE]Qo@SIIc@E]?_@IgAm@QGSAe@Io@J_@Cc@PQLg@RWRSHOIYY[EwBv@qBb@k@Va@\S|@EREDg@PQ?QD_@BKGMOY_AWe@i@e@MEg@Ec@@m@Gc@SCGCA\PN@FCXDb@AXJRBJDj@f@FBb@z@Pf@FJHDN@r@ILGNAB@h@b@\Dj@Gf@OtB_Ab@W`@_@p@w@f@u@P?^_@ZS^Cv@Yr@DXT~@RvAVd@LRBx@^\HT@TRZHHN@JI|@BNDLKUDU?O?UE_@OGIMc@IYQi@ISKMEG@y@Ug@Gi@YOOKEa@EWIg@Di@CKDOLQFe@b@QDa@RKAMUKIa@OMB[NcA`@_Cp@YTe@TKPMhAa@L[Lc@HQ@QQU_@c@w@O_@EEKCGMWKYEM@[GS?[E_@KOOd@Jd@BZFTBFA\DDH\ZXZJZDTN^Pf@RGb@AXEZ?t@\^DLA`@QfAq@b@Oh@Gd@W`@a@Zk@RULa@@OGa@OYIK_@QKCWJq@`@eATcASm@AWHkAp@w@Zs@j@a@b@q@\Yb@u@tCNhATj@Rr@D^EXILm@v@OHc@Jc@LURAPNnBL`@FH`@VPG`@]^uAXe@P@j@CRJH@H\Dl@EdA?nCFTR`@j@l@PL`@BfAAREJ@HEZCt@?DHKL]POFi@JgBr@YTe@XYf@Mh@Kx@IpABhCAjBFpBEPKNMJgA@s@Dg@FoABc@?e@I]?c@Fs@Ec@?G@GF?`@CFUASBo@Eg@?a@Dk@@w@LmBMi@Dc@Ea@?EBINE\MDY@g@?mADq@CqA@o@Eq@@[AkAAYCOHm@@c@Gq@Bi@Ac@GcDDk@CiA@{AE]DsB@gCK]@,2,,,
4,2,Afternoon Mountain Bike Ride,11269.0,4571,6088,460.0,Ride,Ride,,7342540098,2022-06-21T00:57:44Z,2022-06-20T17:57:44Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,United States,5,3,0,1,0,False,False,False,False,everyone,False,,"[45.696571692824364, -122.88972395472229]","[45.69668535143137, -122.89037036709487]",2.465,10.048,,16,True,139.5,171.0,False,True,269.8,70.6,7823045214,7823045214,garmin_push_9055942190,False,2,0,False,64.0,23871091,1,a7342540098,qb|uGx{`mVTeADkBJKhAnG\Rx@Sl@wAvAcFhBaCNiABgBz@}BZ_DEqAu@kBB_@d@cCSyB`@gAd@[dB@h@\^r@vClH~AzGH|@OlBHz@tAlCjF|GfBbEBrA}@pGa@lFe@nC]`BJfAn@dALBR{@?sAx@eCNqBHU\ElEyCf@eAj@cBEmCT{FOqBb@Kj@b@n@IbD_E`AYj@DZXT@X`@B[Gf@qAlAWlAm@jAUDGp@a@f@I`@KEi@`AUAIr@o@nAUbAG`ADpAKrAXJ@r@~BDFd@Q^JVNBEZy@jAO[K@Mt@i@r@?^URKE}AhB[bBq@dA@RPP@n@k@`Ac@^cAIs@cA[mAmB{D?]dAgBjAq@f@k@^yBp@y@dBcAZgBTe@h@iDr@eBj@eDZ{@`@oBb@m@~CmAb@a@ZLbAO`AgA`@s@N{Cj@{A\kBRSDWv@]BiBf@_@~B_@BGEUH]Ia@eAy@M?KPLPSK?Rk@LELBDQZw@l@OZ_@ISf@{@CMVH\Wc@Op@PV@ReA[iAeAQLSl@e@M]f@BPGHOe@}@Fu@m@O?Ax@Et@Lj@?l@\v@CxAKf@t@~@rB`@lAvAFb@oAfBa@bA?`@g@|@y@`AQ`A?YQHOLQt@i@RQ|AQP[|@Ef@FX?bAOnAFbATLt@KLXVH`AC[bAPh@i@t@s@P}@zAJf@cAb@cAjAKlAg@p@Qr@LPHl@\f@j@KcBfA}ALc@U[aAoCuF?kAh@yArAo@l@iCb@{@\_@bA[\c@XcBz@gCF_Ab@}AFaAVeAr@qBb@s@r@wBJOdCk@JOfAI{AiCgBSk@m@o@oBg@aAi@uDc@i@u@OaAj@a@t@QjA@r@h@rAHj@a@nBHn@^pAC|BJlAUdBKbDDvAW|@c@IU_EUs@aAm@a@A_A\i@OiAqB{EeGoAeCK}@NgBOwAe@qA_AcEoBsEYDGPDrEb@dAb@jDLvDGnAMPCr@P`@ZT?bAMb@DVQy@Uh@Kh@?d@e@]e@@o@|@cB^q@`@Yl@Mg@QF@S[Ic@VI^]@YTBWXu@Oo@YKG^IGi@`@g@rBSl@c@^_@H_@QIS{@yEQ_@OZB~AU~@Q|B,2,118.6,542.0,False
5,2,Morning Run,9901.2,3167,3167,63.0,Run,Run,,7340486405,2022-06-20T16:56:29Z,2022-06-20T09:56:29Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,United States,0,3,0,1,0,False,False,False,False,everyone,False,,"[45.52711182273924, -122.60264351963997]","[45.52631126716733, -122.60233917273581]",3.126,4.758,87.4,23,True,146.5,162.0,False,True,85.6,46.0,7820809437,7820809437,garmin_push_9053770456,False,0,0,False,56.0,23871091,1,a7340486405,m_{tGpyhkVKYW[_@?YBWAe@FeBCc@BmACeAIkA?]EgA@cB?iEIo@@_AGoFBWD?B?hGCv@Il@QPCxAADQFkABcCC[@e@AQ@wCEiBBsAGcF?cAKq@Bk@CaD?U?OEk@DeA?oDIc@BeACODi@ZOb@eAdBOn@@l@Hd@Pj@l@~AV~@HXPfABdAJ`A`@zH@z@Ax@MdAe@tA]fBAt@DbFCj@Dv@Cp@CnBGl@Qp@Of@Uj@M`BKzDMt@Sl@Ud@_@XmA`@_@^Ul@Ux@s@jDY\c@Tm@B_@LkATCBSh@MjBHvCCv@@`ACxB@t@Gl@Mf@Yd@ML_Aj@sAf@y@f@e@h@e@n@g@j@a@T_@H{ABGHGbA@zEFzFFb@f@Hh@P`ADfB@LFLPDZ@`CHvA?x@E|@?~@BLFD~@H~AB`BAl@FbCJlDKrCBr@A~B?~AA`BD`B?bAG~B@v@Ch@B|@?hBDd@CDCdADv@EbEEvD?\?p@FXEzCBvBGf@Hf@APJ\Zd@@~AEvAF@IGa@o@oBKk@RMTJZnATl@Xc@XWRYB?FZ[p@ALBJVHt@D|B@|@Eh@?f@@h@?|@L|AEr@Dl@Nb@Xj@j@\PbCdAh@HVBv@Kf@?tBL`A@p@GbAHj@CfABv@EvBHPCHq@H}AAiABiABmIKyIMq@KqBGk@Mw@GGg@cD_@{ECw@a@Ic@Gc@@?yBQ{CDsACkCMMIAa@Ei@BUICQ@}@KcD@{@FaCZqDFkA@w@A{@K{AFeDEU]CUWEc@@s@AqBBu@Ai@C}DDgEC}BBcAAiHGiCDm@@kBFs@B_AA}BBo@EeE@iAI{@M]g@Gc@?a@GG[Am@CaHOIcBE,2,,,
6,2,Morning Run,5004.1,1371,1371,25.0,Run,Run,,7319569765,2022-06-16T16:47:37Z,2022-06-16T09:47:37Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,United States,3,1,0,1,0,False,False,False,False,everyone,False,,"[45.526515282690525, -122.60202133096755]","[45.526198698207736, -122.60531214997172]",3.65,4.732,89.1,24,True,159.2,178.0,False,True,56.0,40.2,7797797833,7797797833,garmin_push_9029229151,False,2,0,False,45.0,23871091,1,a7319569765,u{ztGtuhkVXBl@En@?JBFL@b@CdDDhEDd@RfA@h@L|ABz@FdADlC?tBDJHFbAVBDBl@@vHIzC?lBC|@CjE@pEGbEFfCPVv@FBD?h@Kv@AxHG`A[~BMpB@n@E|AAxCCb@J`@ZR`ALj@RHp@KlHFz@?`DDjAJt@FxAh@~C^~CTdCXhFNlBZPXIJ?TDDA?EDwB?s@MaC@s@Ck@OaAQmBm@{DMcA?GBOOgCAm@FwB?uA@SPqBVuB\oDPiAV_AJu@By@@qAG{@Om@EE[Ew@CiAVWDWQAc@PiAAQSYk@Cc@@UCO]GyBCqE@w@EOm@YGQAy@JeEK}CBiJGgFFyF?aDFw@DwBEmJA{@MmA@sDBuBCm@Gs@{AAMBCLEx@ApHVvB?\Cp@IHy@Fs@G,2,,,
7,2,Lunch Run,10098.7,3568,3573,78.0,Run,Run,,7314918293,2022-06-15T18:51:08Z,2022-06-15T11:51:08Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,United States,0,3,0,1,0,False,False,False,False,everyone,False,,"[45.52710838615894, -122.6027923822403]","[45.526307076215744, -122.60237169452012]",2.83,4.386,85.6,22,True,142.8,154.0,False,True,84.8,48.8,7792723153,7792723153,garmin_push_9023800843,False,0,0,False,49.0,23871091,1,a7314918293,k_{tGnzhkVMDS[O_@C[GOWAe@Bc@Eq@?cAFk@@s@Cw@KkAAmE@g@C{B?a@CiB?q@CgFBGBEJSTILAN@h@EvAAjADvCCb@EHS@_ACi@@k@EsBDgCEg@B[Ac@Ja@N_@?[De@CoAAe@HUBu@Aq@@}AC_@EcAEoA@{AGcA@qBGsAHMBk@?UBMFCGe@\Ob@Wj@[f@Qf@Er@Fl@DRdAfDNfA@V?VTtDThFLdA?z@Cr@Op@c@xAOr@Gr@CdEDtHEr@Mn@Qh@c@dBIr@AfACd@?zAIt@Of@c@n@kAj@YH]d@Sd@QfAQd@U^Yr@Yd@]^[T[LEH_@De@BSJUb@Ql@MZGb@yB@i@BqAE_@Ng@XyDDODIZCvCBx@Aj@GzBD`A?p@Ct@ElEBv@Al@FlBCnDB`AArBDj@BB\Fv@VL@`D?L@PV@t@GdBAxADj@@pBBv@PFt@DVCzBBx@CfDDl@Cf@DdACb@@^CbCBnA?LEDGBa@?m@IeC?w@BUBAB?BFFb@Dz@AdC?VBJFDhANh@BvBB`ACd@Cb@?ZEd@@f@Cd@Bt@@d@FnBD`@Ab@Gb@AzA?vFFnACr@EPGT@d@CTB\Ad@FH?lCGx@@xAJFH`@Z|C?lA@pBEXITM~@GnAFhAJdDKPKZChBRn@X`@X^`@`@VfBx@XHj@FbACxB?bABr@FtCBrBMzAJT?RBTCBaB?{GDwBC}B@gCK}AIoCGs@UwACw@Im@Qq@UiBSeDEgBBu@CoA@u@TmC|@kHh@kBJk@Fa@B_AEiAKy@Iq@Ss@Ko@G{C@uBEyADo@Jc@Dw@Le@FoF?{CDkAA{CE}DBiB?qBBiAAkA@u@?qDCQ?iEB{AEk@DwACs@BcABqHBk@IoBEOi@IwD?i@@sAC]E{C@sAEa@B,2,,,
8,2,Afternoon Run,9695.1,3419,3422,231.0,Run,Run,,7309774433,2022-06-14T20:00:50Z,2022-06-14T13:00:50Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,United States,10,5,0,1,0,False,False,False,False,everyone,False,,"[45.52661460824311, -122.60220070369542]","[45.52632451057434, -122.60241201147437]",2.836,4.564,85.0,24,True,151.9,175.0,False,True,183.6,48.8,7787122666,7787122666,garmin_push_9017790124,False,6,0,False,85.0,23871091,1,a7309774433,i|ztGxvhkVhAAZ@^CrA?^Cf@@f@?l@F`ACj@FnABRBfACl@@XEn@Bv@ATCd@?~@DjEEbCHzA?j@EFKFg@n@?f@K^Fv@BvACnDBbACv@FZEHEL?XH^@h@A`@KhDGnAI|BDhAAfBIREJ[H{@DK\Nd@?j@F|BGp@CfBBlAANCHEJYDw@IaJQoBXsAJu@NU\I^@PMLq@To@\_@pA}@bA_A`AyBp@eC@y@Cg@YkAEe@Ki@K}@Oq@@WJk@BYCIc@QMIaAWk@YOEQ?}@SYKc@Ua@I_@O_@CMGg@JSAk@b@_@R_@JKJQJe@e@]M[F_Bn@}@T_BZe@TGHKd@En@ABQHw@PMFM?][Qg@UWS_@YQW[o@Mk@@k@EOGKQK?zAT`AFTHHJ\Lh@fAF\DJRPFNf@AjA_@LDf@\b@@h@EjAk@h@O`@W~@u@f@g@ROJQBm@M_@_@]a@GMAq@Hk@RgARkAE}@H}@^i@^e@h@UPy@`@_AjAKd@I`B@j@Tf@l@p@b@Xb@@NAP@ZDZT\n@JJf@Z^JN@ZEPKxAiArAkAdAq@VMTGjAOjAEzADbBJTGr@?TDZV|@D\RNTDLL~@Cl@G\K\oA~B_@z@Yj@UXa@VMPa@v@KVALQZ]TWn@Mp@ATOr@ENU\a@@GA_@Oc@]WOc@KUSUOGKKwAOCSB_AXQCOe@Wa@[kA?k@Fo@\mA`@c@dAaAbAc@t@E`@B^HZXVl@J|@Et@I^[f@{@f@IHO`@UXg@\uAr@qAh@}Bp@i@HqBfAA\Jd@HDhAY`@Bt@MXKC|@@z@Dh@Lr@CjC@rADn@HTDB^DxB?`HGRGLc@DaECsA?oBCw@CGECSAoBBaAFgD@aBJEBMZCr@DxB@pBE|BIh@EfAEH_@?c@Bq@X[Ao@DoA@{AF}BBeFNyBG}FPq@Eq@@y@AWJM^AHUDm@DcA?KAaHIkBGw@Di@DkABqAKmCGwHBs@ByB@,2,,,
9,2,Lunch Run,10462.7,3559,3559,77.0,Run,Run,,7303783051,2022-06-13T18:53:51Z,2022-06-13T11:53:51Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,United States,0,4,0,1,0,False,False,False,False,everyone,False,,"[45.52762429229915, -122.6022532582283]","[45.52655358798802, -122.60245584882796]",2.94,4.052,85.8,21,True,145.6,163.0,False,True,85.0,44.8,7780630675,7780630675,garmin_push_9010852513,False,0,0,False,62.0,23871091,1,a7303783051,sb{tGbwhkVWDKNg@JeA@s@Fi@?m@Gs@CsECcBGkD@uAAs@Ge@?m@CwACu@@KDEVA~@W|@?rBEzB?hBGPi@E}EAuEKsEDiAEk@BoDEkEK[Eq@CcCHq@C}AAcABML?DH\RpAPv@n@hBLz@BXCDWJKOi@sAe@kB}@kCOl@Q^QRWd@Gh@Dl@F\l@hBj@~BDjBR~BH|ANjB?v@Hz@Bv@?\KfA_@hA]xAKpB?zBDfACdCBv@Aj@Gt@]xA]|@Ox@C`ACrBG`AI\[p@W`@_@Z[NWDc@T[f@]fBWf@Kh@Sn@Q\c@^_@La@VWDg@?_@VUjAKdB@jAJdEErDKd@[f@c@\[F]N]TiAb@oArAg@\_@^]Pe@LmABMVCT@tAE~E?hBDl@?r@@NNHd@Df@PzBH`@A\@BBBJBf@?vAHjB?`ACh@@`ABx@DDb@H|@?pBIvCHf@ArAHb@?bAOl@CzBJtBEFCBMBgBDc@HFFd@BrADDp@PnAAb@@^CbBFTE|@DVEn@@`@A`AFJCx@JjCAj@Cf@BxBIb@Bf@GvDALGBEDk@?o@CoAAaFxACB@Fh@NPNd@?vED`B`DCdAGbAB`@BVL`@Tb@FrAAlBDb@?b@Gd@?n@OPANKVA~@@~AH`CGb@HbAGpAF^Df@Lb@T~@bAlBz@\Hx@JZKzCBf@Ld@CjAHfG?^Dh@Ed@@FADQAw@BcACq@FaJImHGcBEs@Kk@EmAo@wEQaAIs@G{@IeCBsAAiABy@ZyD^yBTuBr@iCJs@Bm@?u@G{@K_A_@kBC[A}@Es@AmBBw@Ci@@cAJcAN}@Ds@F_EE}QFwBC}@BuBC]@qDAkDBeB?yAIiC?aA?s@LgD?aCCiB?uAISq@CcBDqDCs@EuDDoBCG@UL,2,,,
